City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
157,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
158,Shinjo,JP,89.65,broken clouds,38.7586,140.3008,New Grand Hotel Shinjo
160,San Patricio,US,84.85,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
161,Borazjan,IR,90.72,overcast clouds,29.2666,51.2159,شرکت زرمهریار شعبه سوم
163,Kamen-Rybolov,RU,76.3,overcast clouds,44.7481,132.0403,"The recreation center ""Olimp"""
164,Brownsville,US,84.15,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
166,Miri,MY,87.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
167,Hithadhoo,MV,81.99,overcast clouds,-0.6,73.0833,Scoop Guest House
170,Bambanglipuro,ID,82.13,broken clouds,-7.95,110.2833,Puri Brata
171,Hovd,MN,70.7,scattered clouds,48.0056,91.6419,Hotel Khovd
173,Verkhnevilyuysk,RU,86.5,clear sky,63.4453,120.3167,Gostinitsa Mila
174,Manuk Mangkaw,PH,82.72,light rain,4.8,119.85,
175,Grand-Santi,GF,72.37,moderate rain,4.25,-54.3833,Hotel La Villa Couacou
176,Thinadhoo,MV,82.06,overcast clouds,0.5333,72.9333,
177,Khatanga,RU,70.83,broken clouds,71.9667,102.5,"""Khatanga"""
183,Damghan,IR,81.46,overcast clouds,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
186,Buraydah,SA,88.25,overcast clouds,26.326,43.975,Mövenpick Qassim
188,Ribeira Grande,PT,72.84,few clouds,38.5167,-28.7,Quinta da Meia Eira
199,Hondo,JP,86.31,scattered clouds,32.45,130.2,ホテル河丁
201,Takoradi,GH,74.39,overcast clouds,4.8845,-1.7554,Raybow International Hotel
203,Mnogovershinnyy,RU,76.77,overcast clouds,53.9353,139.9242,Obshchezhitiye 14
205,Tongliao,CN,73.65,light rain,43.6125,122.2653,Meirujia Hotel
207,Garh Maharaja,PK,88.36,overcast clouds,30.8339,71.9053,Zaki Pansar Shop
211,Tulunan,PH,85.14,overcast clouds,6.8344,124.8769,Lady Fox Family's Inn
