City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Port Elizabeth,ZA,2022-07-29 03:22:47,-33.918,25.5701,60.31,74,0,6.91,clear sky
60,Cabo San Lucas,MX,2022-07-29 03:19:59,22.8909,-109.9124,88.9,60,11,5.01,few clouds
61,Bilma,NE,2022-07-29 03:22:47,18.6853,12.9164,83.61,49,85,9.1,overcast clouds
62,Heihe,CN,2022-07-29 03:22:48,50.2441,127.4902,73.98,96,100,4.52,moderate rain
63,Srednekolymsk,RU,2022-07-29 03:22:48,67.45,153.6833,68.36,29,5,10.02,clear sky
64,Severo-Kurilsk,RU,2022-07-29 03:22:48,50.6789,156.125,55.42,89,100,9.86,overcast clouds
65,Albany,US,2022-07-29 03:22:49,42.6001,-73.9662,72.3,86,4,3.53,clear sky
66,Skibbereen,IE,2022-07-29 03:22:49,51.55,-9.2667,62.11,93,100,4.5,overcast clouds
67,New Norfolk,AU,2022-07-29 03:22:49,-42.7826,147.0587,49.5,70,71,3.0,broken clouds
68,Kungurtug,RU,2022-07-29 03:22:50,50.5994,97.5228,61.2,54,67,2.3,broken clouds
69,Shizukuishi,JP,2022-07-29 03:22:50,39.6833,140.9833,83.17,55,98,3.15,overcast clouds
70,Narsaq,GL,2022-07-29 03:22:50,60.9167,-46.05,46.62,67,69,1.48,broken clouds
71,Sosnovo-Ozerskoye,RU,2022-07-29 03:22:51,52.5249,111.5418,66.52,50,99,6.89,overcast clouds
72,Chokurdakh,RU,2022-07-29 03:22:51,70.6333,147.9167,62.69,29,98,15.1,overcast clouds
73,Okha,RU,2022-07-29 03:22:51,53.5739,142.9478,67.77,70,8,9.55,clear sky
74,Taltal,CL,2022-07-29 03:18:10,-25.4,-70.4833,57.65,79,87,1.68,overcast clouds
75,Vaini,TO,2022-07-29 03:22:52,-21.2,-175.2,80.76,83,20,11.5,few clouds
76,Praia Da Vitoria,PT,2022-07-29 03:22:52,38.7333,-27.0667,71.85,83,20,3.96,few clouds
77,Sao Gabriel Da Cachoeira,BR,2022-07-29 03:22:53,-0.1303,-67.0892,71.44,99,79,2.89,broken clouds
78,Mataura,NZ,2022-07-29 03:22:53,-46.1927,168.8643,47.48,77,94,5.01,overcast clouds
79,Acapulco,MX,2022-07-29 03:22:53,16.8634,-99.8901,82.22,74,20,0.0,few clouds
80,Kruisfontein,ZA,2022-07-29 03:22:54,-34.0033,24.7314,57.22,36,0,8.9,clear sky
81,Caravelas,BR,2022-07-29 03:22:54,-17.7125,-39.2481,68.11,84,34,6.29,scattered clouds
82,Belaya Gora,RU,2022-07-29 03:22:55,68.5333,146.4167,66.16,30,93,12.53,overcast clouds
83,Nikolskoye,RU,2022-07-29 03:22:55,59.7035,30.7861,57.79,95,20,3.47,few clouds
84,Collie,AU,2022-07-29 03:22:55,-33.3667,116.15,57.38,66,84,11.27,broken clouds
85,Ilulissat,GL,2022-07-29 03:22:56,69.2167,-51.1,50.02,46,95,16.11,overcast clouds
86,Bo Phloi,TH,2022-07-29 03:22:56,14.3236,99.5161,89.02,58,54,4.76,broken clouds
87,Jamestown,US,2022-07-29 03:20:52,42.097,-79.2353,72.99,64,0,8.99,clear sky
88,Vila Franca Do Campo,PT,2022-07-29 03:22:56,37.7167,-25.4333,72.01,91,15,4.65,few clouds
89,Souillac,MU,2022-07-29 03:22:57,-20.5167,57.5167,70.18,64,40,8.05,scattered clouds
90,Vyazma,RU,2022-07-29 03:22:57,55.2104,34.2951,51.85,88,0,5.48,clear sky
91,Waipawa,NZ,2022-07-29 03:22:57,-41.4122,175.5153,53.22,63,2,15.68,clear sky
92,Lacaron,PH,2022-07-29 03:23:58,6.4489,125.5792,85.33,69,100,2.98,overcast clouds
93,Wajid,SO,2022-07-29 03:23:58,3.8093,43.2471,68.41,78,10,13.47,clear sky
94,Port Alfred,ZA,2022-07-29 03:23:59,-33.5906,26.891,62.19,67,0,4.0,clear sky
95,Kashi,CN,2022-07-29 03:23:59,39.4547,75.9797,90.61,15,40,8.95,scattered clouds
96,Opole,PL,2022-07-29 03:23:59,50.5,18.0,63.39,65,29,3.22,scattered clouds
97,Khasan,RU,2022-07-29 03:23:59,42.4308,130.6434,74.55,88,100,10.45,overcast clouds
98,Tuktoyaktuk,CA,2022-07-29 03:24:00,69.4541,-133.0374,44.6,81,100,16.11,overcast clouds
99,Eyl,SO,2022-07-29 03:24:00,7.9803,49.8164,75.83,77,52,18.92,broken clouds
100,Rawson,AR,2022-07-29 03:24:01,-43.3002,-65.1023,47.77,54,1,18.86,clear sky
101,Upernavik,GL,2022-07-29 03:24:01,72.7868,-56.1549,41.61,73,93,6.64,overcast clouds
102,Dikson,RU,2022-07-29 03:24:01,73.5069,80.5464,42.78,99,100,17.54,overcast clouds
103,Namibe,AO,2022-07-29 03:24:02,-15.1961,12.1522,59.77,83,60,8.08,broken clouds
104,Hilo,US,2022-07-29 03:24:02,19.7297,-155.09,80.28,77,100,6.91,overcast clouds
105,Victoria,HK,2022-07-29 03:22:20,22.2855,114.1577,95.38,62,95,7.0,overcast clouds
106,Panalingaan,PH,2022-07-29 03:24:03,8.7842,117.4231,87.21,65,95,8.1,overcast clouds
107,Nakamura,JP,2022-07-29 03:24:03,32.9833,132.9333,81.7,90,90,8.41,overcast clouds
108,Geraldton,AU,2022-07-29 03:24:03,-28.7667,114.6,63.01,94,75,8.05,heavy intensity rain
109,Singkang,MY,2022-07-29 03:24:04,2.1006,102.7994,82.54,85,85,3.8,overcast clouds
110,Kadhan,PK,2022-07-29 03:24:04,24.481,68.9859,83.44,72,73,15.68,broken clouds
111,Richards Bay,ZA,2022-07-29 03:24:04,-28.783,32.0377,64.26,85,1,14.58,clear sky
112,Den Helder,NL,2022-07-29 03:24:05,52.9599,4.7593,60.98,77,100,16.11,overcast clouds
113,Shihezi,CN,2022-07-29 03:24:05,44.3,86.0333,86.47,32,100,12.68,overcast clouds
114,Jining,CN,2022-07-29 03:24:06,35.405,116.5814,85.37,65,14,2.66,few clouds
115,Tayga,RU,2022-07-29 03:24:06,56.06,85.6197,74.32,58,1,7.81,clear sky
116,Belle Glade,US,2022-07-29 03:24:06,26.6845,-80.6676,83.05,80,31,9.46,scattered clouds
117,Dukhovshchina,RU,2022-07-29 03:24:07,55.1919,32.4111,51.85,92,5,4.65,clear sky
118,Santa Cruz De Tenerife,ES,2022-07-29 03:24:07,28.4682,-16.2546,75.6,96,100,19.57,fog
119,Provideniya,RU,2022-07-29 03:24:07,64.3833,-173.3,48.36,100,75,8.99,fog
120,Ostrovnoy,RU,2022-07-29 03:24:08,68.0531,39.5131,50.38,85,100,13.98,overcast clouds
121,Washington,US,2022-07-29 03:20:56,47.5001,-120.5015,99.0,21,0,5.53,clear sky
122,Kapaa,US,2022-07-29 03:24:08,22.0752,-159.319,82.38,73,100,9.22,overcast clouds
123,Alugan,PH,2022-07-29 03:22:12,12.2188,125.4808,84.65,77,100,4.38,moderate rain
124,Kodinsk,RU,2022-07-29 03:24:09,58.6881,99.1844,61.18,99,100,6.11,light rain
125,Korce,AL,2022-07-29 03:24:09,40.6186,20.7808,61.68,71,0,1.74,clear sky
126,Mareeba,AU,2022-07-29 03:24:10,-17.0,145.4333,73.44,57,3,6.51,clear sky
127,San Quintin,MX,2022-07-29 03:23:40,30.4833,-115.95,68.02,83,14,7.87,few clouds
128,Cabedelo,BR,2022-07-29 03:19:19,-6.9811,-34.8339,72.27,83,19,8.48,few clouds
129,Lorengau,PG,2022-07-29 03:24:10,-2.0226,147.2712,84.7,71,30,15.14,scattered clouds
130,Karratha,AU,2022-07-29 03:24:11,-20.7377,116.8463,77.97,23,27,14.72,light rain
131,Ust-Nera,RU,2022-07-29 03:24:11,64.5667,143.2,72.01,34,100,5.23,overcast clouds
132,Catamarca,AR,2022-07-29 03:20:48,-28.4696,-65.7852,50.77,71,0,1.99,clear sky
133,Tuatapere,NZ,2022-07-29 03:24:12,-46.1333,167.6833,43.68,89,98,7.85,overcast clouds
134,Calbuco,CL,2022-07-29 03:19:14,-41.768,-73.1273,36.61,76,51,2.71,broken clouds
135,Ngunguru,NZ,2022-07-29 03:24:12,-35.6167,174.5,60.49,62,34,8.23,scattered clouds
136,Castro,BR,2022-07-29 03:24:13,-24.7911,-50.0119,59.36,68,68,5.32,broken clouds
137,Puerto Escondido,MX,2022-07-29 03:24:13,15.85,-97.0667,81.43,65,100,4.61,overcast clouds
138,Bella Union,UY,2022-07-29 03:25:13,-30.2752,-57.6007,47.84,78,0,7.74,clear sky
139,Rabak,SD,2022-07-29 03:25:14,13.1809,32.74,75.6,84,100,8.52,overcast clouds
140,Yumen,CN,2022-07-29 03:25:14,40.2833,97.2,87.28,8,42,5.23,scattered clouds
